Country,Region,Happiness Rank,Happiness Score,Happiness High Tolerance,,,,,,,,,
Switzerland,Western Europe,1,7.587,7.55289,,,,,,,,,
Iceland,Western Europe,2,7.561,7.51216,,,,,,,,,
Denmark,Western Europe,3,7.527,7.49372,,,,,,,,,
Norway,Western Europe,4,7.522,7.4832,,,,,,,,,
Canada,North America,5,7.427,7.39147,,,,,,,,,
Finland,Western Europe,6,7.406,7.3746,,,,,,,,,
Netherlands,Western Europe,7,7.378,7.35001,,,,,,,,,
Sweden,Western Europe,8,7.364,7.33243,,,,,,,,,
New Zealand,Australia and New Zealand,9,7.286,7.25229,,,,,,,,,
Australia,Australia and New Zealand,10,7.284,7.24317,,,,,,,,,
Israel,Middle East and Northern Africa,11,7.278,7.2433,,,,,,,,,
Costa Rica,Latin America and Caribbean,12,7.226,7.18146,,,,,,,,,
Austria,Western Europe,13,7.2,7.16249,,,,,,,,,
Mexico,Latin America and Caribbean,14,7.187,7.14524,,,,,,,,,
United States,North America,15,7.119,7.08061,,,,,,,,,
Brazil,Latin America and Caribbean,16,6.983,6.94224,,,,,,,,,
Luxembourg,Western Europe,17,6.946,6.91101,,,,,,,,,
Ireland,Western Europe,18,6.94,6.90324,,,,,,,,,
Belgium,Western Europe,19,6.937,6.90105,,,,,,,,,
United Arab Emirates,Middle East and Northern Africa,20,6.901,6.86371,,,,,,,,,
United Kingdom,Western Europe,21,6.867,6.84834,,,,,,,,,
Oman,Middle East and Northern Africa,22,6.853,6.79965,,,,,,,,,
Venezuela,Latin America and Caribbean,23,6.81,6.74524,,,,,,,,,
Singapore,Southeastern Asia,24,6.798,6.7602,,,,,,,,,
Panama,Latin America and Caribbean,25,6.786,6.7369,,,,,,,,,
Germany,Western Europe,26,6.75,6.73152,,,,,,,,,
Chile,Latin America and Caribbean,27,6.67,6.612,,,,,,,,,
Qatar,Middle East and Northern Africa,28,6.611,6.54843,,,,,,,,,
France,Western Europe,29,6.575,6.53988,,,,,,,,,
Argentina,Latin America and Caribbean,30,6.574,6.52788,,,,,,,,,
Czech Republic,Central and Eastern Europe,31,6.505,6.46332,,,,,,,,,
Uruguay,Latin America and Caribbean,32,6.485,6.43961,,,,,,,,,
Colombia,Latin America and Caribbean,33,6.477,6.42649,,,,,,,,,
Thailand,Southeastern Asia,34,6.455,6.41943,,,,,,,,,
Saudi Arabia,Middle East and Northern Africa,35,6.411,6.36467,,,,,,,,,
Spain,Western Europe,36,6.329,6.29432,,,,,,,,,
Malta,Western Europe,37,6.302,6.25994,,,,,,,,,
Taiwan,Eastern Asia,38,6.298,6.25932,,,,,,,,,
Kuwait,Middle East and Northern Africa,39,6.295,6.25044,,,,,,,,,
Suriname,Latin America and Caribbean,40,6.269,6.17089,,,,,,,,,
Trinidad and Tobago,Latin America and Caribbean,41,6.168,6.05905,,,,,,,,,
El Salvador,Latin America and Caribbean,42,6.13,6.07382,,,,,,,,,
Guatemala,Latin America and Caribbean,43,6.123,6.07076,,,,,,,,,
Uzbekistan,Central and Eastern Europe,44,6.003,5.95939,,,,,,,,,
Slovakia,Central and Eastern Europe,45,5.995,5.95233,,,,,,,,,
Japan,Eastern Asia,46,5.987,5.95119,,,,,,,,,
South Korea,Eastern Asia,47,5.984,5.94302,,,,,,,,,
Ecuador,Latin America and Caribbean,48,5.975,5.92972,,,,,,,,,
Bahrain,Middle East and Northern Africa,49,5.96,5.90588,,,,,,,,,
Italy,Western Europe,50,5.948,5.90886,,,,,,,,,
Bolivia,Latin America and Caribbean,51,5.89,5.83358,,,,,,,,,
Moldova,Central and Eastern Europe,52,5.889,5.85101,,,,,,,,,
Paraguay,Latin America and Caribbean,53,5.878,5.83237,,,,,,,,,
Kazakhstan,Central and Eastern Europe,54,5.855,5.81386,,,,,,,,,
Slovenia,Central and Eastern Europe,55,5.848,5.80549,,,,,,,,,
Lithuania,Central and Eastern Europe,56,5.833,5.79457,,,,,,,,,
Nicaragua,Latin America and Caribbean,57,5.828,5.77429,,,,,,,,,
Peru,Latin America and Caribbean,58,5.824,5.77785,,,,,,,,,
Belarus,Central and Eastern Europe,59,5.813,5.77362,,,,,,,,,
Poland,Central and Eastern Europe,60,5.791,5.74837,,,,,,,,,
Malaysia,Southeastern Asia,61,5.77,5.7267,,,,,,,,,
Croatia,Central and Eastern Europe,62,5.759,5.71506,,,,,,,,,
Libya,Middle East and Northern Africa,63,5.754,5.67568,,,,,,,,,
Russia,Central and Eastern Europe,64,5.716,5.68465,,,,,,,,,
Jamaica,Latin America and Caribbean,65,5.709,5.57207,,,,,,,,,
North Cyprus,Western Europe,66,5.695,5.63865,,,,,,,,,
Cyprus,Western Europe,67,5.689,5.6332,,,,,,,,,
Algeria,Middle East and Northern Africa,68,5.605,5.55401,,,,,,,,,
Kosovo,Central and Eastern Europe,69,5.589,5.53882,,,,,,,,,
Turkmenistan,Central and Eastern Europe,70,5.548,5.50625,,,,,,,,,
Mauritius,Sub-Saharan Africa,71,5.477,5.40503,,,,,,,,,
Hong Kong,Eastern Asia,72,5.474,5.42349,,,,,,,,,
Estonia,Central and Eastern Europe,73,5.429,5.38887,,,,,,,,,
Indonesia,Southeastern Asia,74,5.399,5.37304,,,,,,,,,
Vietnam,Southeastern Asia,75,5.36,5.32893,,,,,,,,,
Turkey,Middle East and Northern Africa,76,5.332,5.29336,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,77,5.286,5.24777,,,,,,,,,
Nigeria,Sub-Saharan Africa,78,5.268,5.22608,,,,,,,,,
Bhutan,Southern Asia,79,5.253,5.22075,,,,,,,,,
Azerbaijan,Central and Eastern Europe,80,5.212,5.17837,,,,,,,,,
Pakistan,Southern Asia,81,5.194,5.15674,,,,,,,,,
Jordan,Middle East and Northern Africa,82,5.192,5.14676,,,,,,,,,
Montenegro,Central and Eastern Europe,82,5.192,5.13965,,,,,,,,,
China,Eastern Asia,84,5.14,5.11576,,,,,,,,,
Zambia,Sub-Saharan Africa,85,5.129,5.05912,,,,,,,,,
Romania,Central and Eastern Europe,86,5.124,5.05793,,,,,,,,,
