Country,Happiness Low Tolerance,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year
Switzerland,7.62111,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,2015
Iceland,7.60984,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,2015
Denmark,7.56028,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,2015
Norway,7.5608,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2015
Canada,7.46253,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2015
Finland,7.4374,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,2015
Netherlands,7.40599,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,2015
Sweden,7.39557,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2015
New Zealand,7.31971,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2015
Australia,7.32483,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,2015
Israel,7.3127,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,2015
Costa Rica,7.27054,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,2015
Austria,7.23751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,2015
Mexico,7.22876,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,2015
United States,7.15739,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,2015
Brazil,7.02376,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,2015
Luxembourg,6.98099,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,2015
Ireland,6.97676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,2015
Belgium,6.97295,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,2015
United Arab Emirates,6.93829,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2015
United Kingdom,6.88566,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,2015
Oman,6.90635,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,2015
Venezuela,6.87476,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,2015
Singapore,6.8358,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,2015
Panama,6.8351,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,2015
Germany,6.76848,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,2015
Chile,6.728,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,2015
Qatar,6.67357,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2015
France,6.61012,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,2015
Argentina,6.62012,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,2015
Czech Republic,6.54668,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2015
Uruguay,6.53039,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,2015
Colombia,6.52751,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,2015
Thailand,6.49057,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,2015
Saudi Arabia,6.45733,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,2015
Spain,6.36368,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,2015
Malta,6.34406,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,2015
Taiwan,6.33668,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,2015
Kuwait,6.33956,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,2015
Suriname,6.36711,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,2015
Trinidad and Tobago,6.27695,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,2015
El Salvador,6.18618,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,2015
Guatemala,6.17524,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,2015
Uzbekistan,6.04661,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,2015
Slovakia,6.03767,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,2015
Japan,6.02281,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,2015
South Korea,6.02498,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,2015
Ecuador,6.02028,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,2015
Bahrain,6.01412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,2015
Italy,5.98714,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,2015
Bolivia,5.94642,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,2015
Moldova,5.92699,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,2015
Paraguay,5.92363,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,2015
Kazakhstan,5.89614,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,2015
Slovenia,5.89051,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,2015
Lithuania,5.87143,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,2015
Nicaragua,5.88171,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,2015
